Love & Friends;Open;1;What is your favorite type of hangout with friends?;Dinner, Game night, Bar hop, Disco, Day programs;Friends, Fun, Night, Dance, Gaming;Random
Love & Friends;Open;1;What is your favorite weekend plan with your loved one?;Outdoor stroll, Indoor stroll, Go out at night, Cinema theater or similar, Netflix and chill;Love, Fun, Travelling, Netflix;Random
Love & Friends;Open;1;Which destination do you prefer for a romantic trip?;Paris, New York, Tokyo, Sydney, Other;Travelling, Vacations, Love;Random
Love & Friends;Open;1;Which continent would you prefer for a trip with friends?;Europe, Asia, South America, North America, Africa;Travelling, Vacations, Friends;Random
Love & Friends;Open;1;How likely it is that you will be spending your life with your partner?;Very Low, Low, Moderate, High, Very High;Love, Future, Family;Random
Love & Friends;Open;1;How often do you talk with your parents?;Everyday, Every couple of days, Every week, Every month, Never;Family, Parenting;Random
Love & Friends;Open;1;How often do you talk with your brothers and sisters?;Everyday, Every couple of days, Every week, Every month, Never;Family, Brothers, Sisters;Random
Love & Friends;Open;1;How often do you talk with your closest friends?;Everyday, Every couple of days, Every week, Every month, Never;Friends;Random
Love & Friends;Open;1;Do you give gifts to your loved one?;Often, All special occasions, Some special occasions, Never;Love, Gifts;Random
Love & Friends;Open;1;Do you visit your grandparents?;Everyday, Every week, Every month, Less frequently, Never;Family, Grandparents;Random
Love & Friends;Closed;1;What is your favorite sexual position?;Missionary, Doggy style, Cowgirl, Spooning, Other;Sex, Love;Random
Love & Friends;Closed;2;What physical feature you value the most in your loved one?;Eyes, Smile, Body (front), Body (back), Other;Love, Body, Intimate;Random
Love & Friends;Closed;3;What is the best meal to cook for a girlfriend/boyfriend?;Meat, Fish, Pasta, Other;Love, Food;Random
Love & Friends;Closed;4;Until what age did you live in your parents home?;Still do, 18-21, 21-25, 25-30, More than 30;Family, Parenting;Random
Love & Friends;Closed;5;Do you trust your friends with your closest secrets?;Yes, No;Friends, Secrets, Intimate;Random
Love & Friends;Sponsored;23;Have you ever used sexual enhancement drugs?;Frequently, Sporadically, Never, Thinking of it;Sex, Drugs, Health;Random
Love & Friends;Sponsored;14;Do you play sexual games (digital or board) with your partner?;Often, On special occasions only, Never, Cannot find them;Sex, Gaming;Random
Love & Friends;Sponsored;21;How often do you buy intimate clothing for your loved one?;Every month, Every 3 months, Every year, Not very frequently, Never;Love, Gifts, Intimate;Random
Love & Friends;Sponsored;25;Do you plan on getting married?;Yes, No, Maybe, Already am!;Love, Family, Marriage;Random
Love & Friends;Sponsored;23;How many children do you expect to have?;None, 1, 2, 3, 4 or more;Family, Parenting, Children;Random
Lifestyle;Open;1;What is your favorite take-away pizza brand?;TelePizza, Pizza Hut, Dominos, Pizza na Braza, Other;Pizza, Product, Take-Away;Random
Lifestyle;Open;1;What is your favorite take-away burger brand?;McDonalds, Burger King, Both, Other, Hate them all;Burger, Product, Take-Away;Random
Lifestyle;Open;1;How often do you go to the gym?;Everyday, 3 times a week or more, Once or twice a week, Less frequently, Never;Gym, Fitness, Health;Random
Lifestyle;Open;1;Do you make an effort to eat healthy?;Yes, Sometimes, Depends on the season, Nope;Health, Food, Fitness;Random
Lifestyle;Open;1;Where does the best cheese come from?;Portugal, Spain, Italy, France, Other;Food, Cheese;Random
Lifestyle;Open;1;Do you still use Facebook?;Nope, As I always did, Less than before, Just because I have to;Facebook, App;Random
Lifestyle;Open;1;What is the main reason you use Instagram for?;Friends' photos and stories, News and articles, Influencers' opinions, Products, Other;Fashion, Instagram, App;Random
